Drop_point,Shipment_Mode,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight,Freight_Cost,Line_Item_Insurance,Delivery_Status,Pickup_Point
South Africa,,Others,300,2049.0,6.83,0.03,,,3.28,Delivered Early,Others
Haiti,Air,Tablet,180,1850.4,10.28,0.17,31.0,910.86,2.96,On time,Others
South Africa,Truck,Others,800,21720.0,27.15,0.9,,,34.75,Delivered Early,Others
Zambia,Air,Test kit,4300,309557.0,71.99,0.72,979.0,8690.26,495.29,On time,Others
Côte d'Ivoire,Air,Test kit,476,36176.0,76.0,1.9,522.0,6924.83,57.88,Delayed,
Rwanda,Air,Test kit,3150,100800.0,32.0,1.6,1080.0,15987.05,161.28,On time,
Côte d'Ivoire,Air,Test kit,1116,78120.0,70.0,0.7,256.0,4014.57,124.99,On time,Others
Guyana,Air,Test kit,1062,33984.0,32.0,1.6,362.0,4717.51,54.37,On time,
Others,Air,Others,200,2.0,0.01,0.0,,,0.0,On time,Others
Others,Air,Test kit,500,39500.0,79.0,1.98,,,63.2,On time,
Others,Air,Others,142,1.42,0.01,0.0,,,0.0,On time,Others
South Africa,Truck,Others,1000,6410.0,6.41,0.03,,,10.26,On time,Others
Vietnam,Air,Others,408,3162.0,7.75,0.13,,,5.06,On time,India
Vietnam,Air,Tablet - FDC,10420,77108.0,7.4,0.12,1000.0,7526.06,123.37,On time,India
Vietnam,Air,Tablet - FDC,9600,71040.0,7.4,0.12,920.0,7265.05,113.66,On time,India
Vietnam,Air,Tablet,1520,124944.0,82.2,0.68,385.0,4393.32,199.91,On time,Others
Vietnam,Air,Tablet,800,65760.0,82.2,0.68,208.0,3449.4,105.22,On time,Others
Haiti,Air,Test kit,30,2550.0,85.0,0.85,,,4.08,Delivered Early,Others
Vietnam,Air,Tablet - FDC,15360,113664.0,7.4,0.12,1360.0,5412.14,181.86,On time,India
Vietnam,Air,Tablet,2180,6997.8,3.21,0.05,242.0,5881.57,11.2,On time,India
Vietnam,Air,Tablet - FDC,2016,18648.0,9.25,0.15,185.0,5551.97,29.84,On time,India
Vietnam,Air,Others,400,2800.0,7.0,0.12,81.0,2035.66,4.48,On time,Others
Vietnam,Air,Tablet,10080,103219.2,10.24,0.34,,,165.15,On time,Others
South Africa,Truck,Others,4,52.96,13.24,0.22,,,0.08,Delivered Early,Others
Haiti,Air,Test kit,2059,144130.0,70.0,0.7,470.0,3684.28,230.61,On time,Others
South Africa,Truck,Tablet,400,9536.0,23.84,0.79,,,15.26,Delivered Early,Others
Zambia,Air,Test kit,5900,188800.0,32.0,1.6,1989.0,19569.48,370.05,On time,
Tanzania,Air,Others,2597,61470.99,23.67,0.79,,,120.48,On time,Others
Zambia,Air,Test kit,3000,215970.0,71.99,0.72,,,345.55,On time,Others
Guyana,Air,Test kit,1062,33984.0,32.0,1.6,1062.0,3976.33,54.37,On time,
Others,Air,Test kit,5,160.0,32.0,1.6,3.0,1225.17,0.26,On time,
Others,Air,Test kit,8,560.0,70.0,0.7,5406.0,559.95,0.9,Delivered Early,Others
Vietnam,Air,Tablet,1848,5359.2,2.9,0.05,327.0,3171.36,8.57,On time,India
Nigeria,Air,Test kit,1369,51337.5,37.5,37.5,,,100.62,On time,
Ethiopia,Air,Test kit,7002,161046.0,23.0,23.0,4922.0,46117.09,315.65,On time,Others
Ethiopia,Air,Test kit,7002,161046.0,23.0,23.0,5057.0,44360.44,315.65,Delivered Early,Others
Ethiopia,Air,Test kit,7002,161046.0,23.0,23.0,5057.0,44347.71,257.67,On time,Others
Mozambique,Air,Others,7690,76.9,0.01,0.0,2278.0,23743.01,0.15,On time,Others
Rwanda,Air,Tablet - FDC,18560,168896.0,9.1,0.15,1698.0,16414.22,331.04,On time,India
Others,Air,Test kit,650,20800.0,32.0,1.6,220.0,7078.9,33.28,On time,
Zambia,Air,Others,545,3815.0,7.0,0.12,,,7.48,On time,Others
South Africa,Truck,Others,200,592.0,2.96,0.1,,,1.16,Delivered Early,Others
Tanzania,Air,Test kit,1678,53696.0,32.0,1.6,554.0,4810.99,105.24,On time,
Ethiopia,Air,Others,10000,80000.0,8.0,0.08,400.0,4856.14,156.8,On time,Others
Tanzania,Air,Tablet - FDC,24963,1258135.2,50.4,1.68,2462.0,3451.41,2465.94,On time,Others
Guyana,Air,Test kit,351,25272.0,72.0,0.72,60.0,1097.78,49.53,Delivered Early,Others
Vietnam,Air,Tablet,5200,15080.0,2.9,0.05,,,29.56,On time,India
Zambia,Air,Test kit,300,6000.0,20.0,0.8,94.0,1205.43,11.76,On time,Others
Others,Air,Test kit,80,6800.0,85.0,2.36,33.0,812.0,13.33,On time,
Tanzania,Air,Tablet,10680,438948.0,41.1,0.34,2724.0,12620.12,860.34,On time,Others
South Africa,Air,Tablet,7000,113050.0,16.15,0.54,,,221.58,Delivered Early,India
South Africa,Air,Tablet,983,4875.68,4.96,0.08,,,9.56,Delivered Early,India
South Africa,Air,Others,1325,3339.0,2.52,0.04,,,6.54,Delivered Early,India
South Africa,Air,Tablet,2880,44812.8,15.56,0.26,,,87.83,Delivered Early,Others
South Africa,Air,Tablet,6800,82620.0,12.15,0.2,,,161.94,Delivered Early,India
South Africa,Air,Tablet,3414,49810.26,14.59,0.49,,,97.63,Delivered Early,India
South Africa,Air,Tablet,5000,62750.0,12.55,0.21,,,122.99,Delivered Early,Others
South Africa,Air,Tablet,6215,102609.65,16.51,0.55,,,201.11,Delivered Early,India
South Africa,Air,Others,3000,7470.0,2.49,0.08,,,14.64,Delivered Early,Others
South Africa,Air,Others,500,1530.0,3.06,0.1,,,3.0,Delivered Early,India
South Africa,Air,Tablet,1200,14532.0,12.11,0.4,,,28.48,Delivered Early,India
South Africa,Air,Tablet,500,8820.0,17.64,0.59,,,17.29,Delivered Early,Others
South Africa,Air,Tablet - FDC,80,2336.0,29.2,0.97,,,4.58,Delivered Early,Others
South Africa,Air,Others,1,5.97,5.97,0.07,,,0.01,Delivered Early,Others
South Africa,Air,Tablet,500,6555.0,13.11,0.22,,1521.4,12.85,Delivered Early,Others
South Africa,Air,Others,300,1179.0,3.93,0.07,,,2.31,Delivered Early,Others
South Africa,Air,Others,80,188.8,2.36,0.08,,,0.37,Delivered Early,Others
South Africa,Air,Others,28,1578.92,56.39,0.21,,,3.09,Delivered Early,Others
South Africa,Air,Others,30,829.5,27.65,0.31,,,1.63,Delivered Early,Others
South Africa,Air,Others,108,610.2,5.65,0.02,,,1.2,On time,India
South Africa,Air,Tablet,9620,68109.6,7.08,0.12,,,133.49,Delivered Early,India
Others,Air,Test kit,20,7000.0,350.0,3.5,48.0,1119.99,13.72,On time,Others
South Africa,Truck,Tablet,250,5315.0,21.26,0.71,,,10.42,Delivered Early,Others
South Africa,Truck,Others,100,3220.0,32.2,0.36,,,6.31,On time,Others
South Africa,Truck,Tablet,400,14400.0,36.0,0.3,,,28.22,Delivered Early,Others
Rwanda,Air,Tablet,28034,195677.32,6.98,0.23,2268.0,19023.36,383.53,On time,India
Nigeria,Air,Others,2000,70420.0,35.21,0.07,1250.0,17170.07,138.02,On time,Others
Côte d'Ivoire,Air,Test kit,476,52360.0,110.0,2.75,534.0,9471.52,102.63,Delivered Early,
Côte d'Ivoire,Air,Test kit,18,1980.0,110.0,2.75,20.0,2199.43,3.88,Delayed,
Others,Air,Test kit,6760,216320.0,32.0,1.6,2261.0,17643.81,423.99,On time,
Tanzania,Air,Others,820,73074.13,89.11,0.33,424.0,3310.89,143.23,On time,Others
South Africa,Truck,Others,30,1081.8,36.06,0.6,,,2.12,Delivered Early,Others
